title,price,area,bath,room,tipo,city
"Apartment in Chatelet les Halles, Louvre-Tuileries, Palais Royal, Paris",6800000,207.0,2.0,2.0,Apartment,Paris
"Luxury home in Champs-Elysées, Madeleine, Triangle d’or, Paris",6600000,327.0,3.0,4.0,Luxury home,Paris
"Apartment in Chatelet les Halles, Louvre-Tuileries, Palais Royal, Paris",6500000,192.0,6.0,3.0,Apartment,Paris
"Apartment in Tour Eiffel, Invalides – Ecole Militaire, Saint-Thomas d’Aquin, Paris",6500000,234.0,1.0,4.0,Apartment,Paris
"Apartment in Chatelet les Halles, Louvre-Tuileries, Palais Royal, Paris",6500000,189.0,3.0,4.0,Apartment,Paris
"Apartment in Saint-Germain, Odéon, Monnaie, Paris",6500000,287.0,6.0,6.0,Apartment,Paris
"Apartment in La Muette, Auteuil, Porte Dauphine, Paris",6400000,309.0,8.0,4.0,Apartment,Paris
"Apartment in La Muette, Auteuil, Porte Dauphine, Paris",6400000,309.0,4.0,4.0,Apartment,Paris
"Apartment in Tour Eiffel, Invalides – Ecole Militaire, Saint-Thomas d’Aquin, Paris",6390000,195.0,2.0,3.0,Apartment,Paris
"Apartment in La Muette, Auteuil, Porte Dauphine, Paris",6300000,428.0,3.0,4.0,Apartment,Paris
"Apartment in La Muette, Auteuil, Porte Dauphine, Paris",6300000,432.0,5.0,5.0,Apartment,Paris
"Apartment in La Muette, Auteuil, Porte Dauphine, Paris",6200000,221.0,3.0,3.0,Apartment,Paris
Hotel in Dubai,250000000,12000.0,230.0,220.0,Hotel,Dubai
Villa in Dubai,87883800,3874.0,13.0,10.0,Villa,Dubai
Villa in Dubai,75544800,849.0,7.0,6.0,Villa,Dubai
Villa in Dubai,74042100,1532.0,8.0,6.0,Villa,Dubai
Penthouse in Dubai,62954000,3103.0,8.0,5.0,Penthouse,Dubai
Penthouse in Dubai,59176800,2824.0,7.0,5.0,Penthouse,Dubai
Penthouse in Dubai,59176800,2824.0,7.0,5.0,Penthouse,Dubai
Penthouse in Dubai,59038200,2824.0,7.0,5.0,Penthouse,Dubai
Penthouse in Dubai,46239700,1844.0,5.0,4.0,Penthouse,Dubai
Penthouse in Dubai,45326900,2341.0,6.0,5.0,Penthouse,Dubai
Mansion in Dubai,44067800,2262.0,7.0,6.0,Mansion,Dubai
Penthouse in Dubai,44067800,2262.0,8.0,6.0,Penthouse,Dubai
Penthouse in Dubai,44067800,1440.0,6.0,6.0,Penthouse,Dubai
Mansion in Dubai,42808700,4266.0,8.0,8.0,Mansion,Dubai
Mansion in Dubai,42808700,4266.0,8.0,8.0,Mansion,Dubai
Mansion in Dubai,42808700,4266.0,8.0,8.0,Mansion,Dubai
Penthouse in Dubai,40290600,1412.0,6.0,4.0,Penthouse,Dubai
Penthouse in Dubai,38553000,2316.0,7.0,6.0,Penthouse,Dubai
Villa in Dubai,37772400,1723.0,12.0,7.0,Villa,Dubai
Villa in Dubai,37772400,683.0,6.0,5.0,Villa,Dubai
Villa in Dubai,32736100,2601.0,12.0,9.0,Villa,Dubai
Penthouse in Dubai,32736100,1645.0,6.0,5.0,Penthouse,Dubai
Penthouse in Dubai,31477000,1541.0,7.0,5.0,Penthouse,Dubai
Apartment in Dubai,31477000,1708.0,7.0,5.0,Apartment,Dubai
Apartment in Dubai,31477000,1708.0,7.0,5.0,Apartment,Dubai
Penthouse in Dubai,31477000,1541.0,7.0,5.0,Penthouse,Dubai
Apartment in Dubai,31477000,845.0,6.0,5.0,Apartment,Dubai
Penthouse in Dubai,31477000,1017.0,5.0,5.0,Penthouse,Dubai
Villa in Dubai,30217900,1343.0,6.0,4.0,Villa,Dubai
Apartment in Dubai,28958800,1767.0,7.0,5.0,Apartment,Dubai
Villa in Dubai,28958800,2370.0,7.0,5.0,Villa,Dubai
Penthouse in Dubai,28958800,884.0,4.0,4.0,Penthouse,Dubai
Villa in Dubai,26440700,1325.0,6.0,5.0,Villa,Dubai
Villa in Dubai,26360500,2463.0,6.0,5.0,Villa,Dubai
Villa in Dubai,25181600,2463.0,6.0,5.0,Villa,Dubai
Villa in Dubai,25181600,2463.0,6.0,5.0,Villa,Dubai
Mansion in Dubai,25181600,1238.0,7.0,5.0,Mansion,Dubai
Villa in Dubai,25181600,2463.0,6.0,5.0,Villa,Dubai
Apartment in Dubai,25181600,1541.0,7.0,5.0,Apartment,Dubai
Penthouse in Dubai,25181600,1188.0,6.0,4.0,Penthouse,Dubai
"Luxury home in London, Greater London",45458600,986.0,7.0,9.0,Luxury home,London
"Apartment in London, Greater London",43732300,650.0,4.0,6.0,Apartment,London
"Detached House in London, Greater London",36827200,1694.0,7.0,6.0,Detached House,London
"Semidetached House in London, Greater London",33374700,510.0,8.0,6.0,Semidetached House,London
"Hotel in West End of London, Greater London",32223800,2500.0,50.0,50.0,Hotel,London
"Apartment in London, Greater London",28195800,343.0,5.0,4.0,Apartment,London
"Luxury home in London, Greater London",23017000,500.0,5.0,5.0,Luxury home,London
"Apartment in London, Greater London",21290700,325.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",19564500,350.0,4.0,4.0,Apartment,London
"Duplex in London, Greater London",18356100,503.0,5.0,5.0,Duplex,London
"Apartment in London, Greater London",17205200,406.0,4.0,4.0,Apartment,London
"Apartment in London, Greater London",16111900,325.0,4.0,3.0,Apartment,London
"Luxury home in London, Greater London",13234800,675.0,7.0,6.0,Luxury home,London
"Luxury home in London, Greater London",12947100,424.0,4.0,5.0,Luxury home,London
"Apartment in London, Greater London",12630600,3944.0,6.0,5.0,Apartment,London
"Detached House in London, Greater London",11451000,471.0,4.0,6.0,Detached House,London
"Apartment in London, Greater London",10933100,265.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",10300100,316.0,5.0,4.0,Apartment,London
"Detached House in London, Greater London",10121700,630.0,5.0,6.0,Detached House,London
"Penthouse in London, Greater London",9437000,188.0,3.0,5.0,Penthouse,London
"Luxury home in London, Greater London",8919100,480.0,7.0,6.0,Luxury home,London
"Detached House in London, Greater London",8919100,401.0,4.0,5.0,Detached House,London
"Apartment in London, Greater London",7768200,192.0,3.0,4.0,Apartment,London
"Luxury home in London, Greater London",7307900,269.0,4.0,4.0,Luxury home,London
"Apartment in London, Greater London",7250400,222.0,4.0,4.0,Apartment,London
"Apartment in London, Greater London",7129500,148.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",6905100,129.0,2.0,2.0,Apartment,London
"Detached House in London, Greater London",6847600,868.0,5.0,6.0,Detached House,London
"Apartment in London, Greater London",6416000,216.0,4.0,4.0,Apartment,London
"Luxury home in London, Greater London",6329700,235.0,5.0,4.0,Luxury home,London
"Penthouse in West End of London, Greater London",5725500,220.0,3.0,3.0,Penthouse,London
"Apartment in London, Greater London",5351500,146.0,4.0,3.0,Apartment,London
"Apartment in London, Greater London",4833600,159.0,3.0,3.0,Apartment,London
"Detached House in London, Greater London",4776000,359.0,3.0,5.0,Detached House,London
"Apartment in London, Greater London",4627600,195.0,2.0,3.0,Apartment,London
"Luxury home in London, Greater London",4373200,209.0,4.0,4.0,Luxury home,London
"Apartment in London, Greater London",4286900,190.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",4143100,297.0,2.0,2.0,Apartment,London
